Name,SWIFT,Countries,Maximum Transaction History,GoCardless account selection,Pending Transactions,Private Accounts,Business Accounts,Corporate Accounts,Institution_id,Unique aspects of bank
BBVA,BBVABEBB,BE,730,Yes,Yes,Yes,Yes,No,BBVABE_BBVABEBB,
BBVA,BBVAPTPL,PT,730,Yes,Yes,Yes,Yes,No,BBVAPT_BBVAPTPL,
BBVA,BBVAESMM,ES,730,Yes,Yes,Yes,Yes,No,BBVA_BBVAESMM,"1) Requires two requisitions for gathering historical data and having continuous access to the account
Knowledge article reference: https://bankaccountdata.zendesk.com/hc/en-gb/articles/11529718632476-Extended-history-and-continuous-access-edge-cases 2)Card accounts not supported "
BBVA,BBVAGB2L,GB,730,Yes,Yes,Yes,Yes,No,BBVAUK_BBVAGB2L,
BCC 'G. Toniolo' Di San Cataldo,ICRAITRRQG0,IT,90,Yes,No,Yes,Yes,Yes,BCC_G_TONIOLO_DI_SAN_CATALDO_ICRAITRRQG0,
BCC Abruzzese Cappelle Sul Tavo,ICRAITR1C21,IT,90,Yes,No,Yes,Yes,Yes,BCC_ABRUZZESE_CAPPELLE_SUL_TAVO_ICRAITR1C21,
BCC Agrigentino,ICRAITRRUS0,IT,90,Yes,No,Yes,Yes,Yes,BCC_AGRIGENTINO_ICRAITRRUS0,
BCC Agrobresciano,ICRAITRRFZ0,IT,90,Yes,No,Yes,Yes,Yes,BCC_AGROBRESCIANO_ICRAITRRFZ0,
BCC Brianza E Laghi,ICRAITRR950,IT,90,Yes,No,Yes,Yes,Yes,BCC_BRIANZA_E_LAGHI_ICRAITRR950,
BCC CRA Di Paliano,ICRAITRRJX0,IT,90,Yes,No,Yes,Yes,Yes,BCC_CRA_DI_PALIANO_ICRAITRRJX0,
BCC Campania Centro CRA,ICRAITRRAI0,IT,90,Yes,No,Yes,Yes,Yes,BCC_CAMPANIA_CENTRO_CRA_ICRAITRRAI0,
BCC Canosa Loconia,ICRAITRRGU0,IT,90,Yes,No,Yes,Yes,Yes,BCC_CANOSA_LOCONIA_ICRAITRRGU0,
BCC Degli Ulivi Terra Di Bari,ICRAITRRRG0,IT,90,Yes,No,Yes,Yes,Yes,BCC_DEGLI_ULIVI_TERRA_DI_BARI_ICRAITRRRG0,
BCC Dei Colli Albani,ICRAITRRQF0,IT,90,Yes,No,Yes,Yes,Yes,BCC_DEI_COLLI_ALBANI_ICRAITRRQF0,
BCC Del Basso Sebino,ICRAITRRC50,IT,90,Yes,No,Yes,Yes,Yes,BCC_DEL_BASSO_SEBINO_ICRAITRRC50,
BCC Del Garda - BCC Colli Morenici Del Garda,ICRAITRRIS0,IT,90,Yes,No,Yes,Yes,Yes,BCC_DEL_GARDA_BCC_COLLI_MORENICI_DEL_GARDA_ICRAITRRIS0,
BCC Del Metauro,ICRAITR1JG1,IT,90,Yes,No,Yes,Yes,Yes,BCC_DEL_METAURO_ICRAITR1JG1,
BCC Del Piceno,ICRAITRRD60,IT,90,Yes,No,Yes,Yes,Yes,BCC_DEL_PICENO_ICRAITRRD60,
BCC Del Valdarno,ICRAITRRMJ0,IT,90,Yes,No,Yes,Yes,Yes,BCC_DEL_VALDARNO_ICRAITRRMJ0,
BCC Della Calabria Ulteriore,ICRAITRRUB0,IT,90,Yes,No,Yes,Yes,Yes,BANCA_DEL_CATANZARESE_ICRAITRRUB0,
BCC Della Valle Del Trigno,ICRAITR1592,IT,90,Yes,No,Yes,Yes,Yes,BCC_DELLA_VALLE_DEL_TRIGNO_ICRAITR1592,
BCC Delle Madonie,ICRAITRRR40,IT,90,Yes,No,Yes,Yes,Yes,BCC_SGIUSEPPE_MADONIE_ICRAITRRR40,
BCC Dell´adriatico Teramano,ICRAITRRU60,IT,90,Yes,No,Yes,Yes,Yes,BCC_DELLADRIATICO_TERAMANO_ICRAITRRU60,
BCC Dell´oglio E Del Serio,ICRAITRREA0,IT,90,Yes,No,Yes,Yes,Yes,BCC_DELLOGLIO_E_DEL_SERIO_ICRAITRREA0,
BCC Di Altofonte E Caccamo,ICRAITRR9H0,IT,90,Yes,No,Yes,Yes,Yes,BCC_DI_ALTOFONTE_E_CACCAMO_ICRAITRR9H0,
BCC Di Arborea,ICRAITRRA20,IT,90,Yes,No,Yes,Yes,Yes,BCC_DI_ARBOREA_ICRAITRRA20,
BCC Di Bari,ICRAITRRS40,IT,90,Yes,No,Yes,Yes,Yes,BCC_DI_BARI_ICRAITRRS40,
BCC Di Basciano,ICRAITRR450,IT,90,Yes,No,Yes,Yes,Yes,BCC_DI_BASCIANO_ICRAITRR450,
BCC Di Borghetto Lodigiano,ICRAITRR0U0,IT,90,Yes,No,Yes,Yes,Yes,BCC_DI_BORGHETTO_LODIGIANO_ICRAITRR0U0,
BCC Di Buccino E Dei Comuni Cilentani,ICRAITRRTM0,IT,90,Yes,No,Yes,Yes,Yes,BCC_DI_BUCCINO_E_DEI_COMUNI_CILENTANI_ICRAITRRTM0,
BCC Di Busto Garolfo E Buguggiate,ICRAITRRB80,IT,90,Yes,No,Yes,Yes,Yes,BCC_DI_BUSTO_GAROLFO_E_BUGUGGIATE_ICRAITRRB80,
BCC Di Cagliari,ICRAITRRUG0,IT,90,Yes,No,Yes,Yes,Yes,BCC_DI_CAGLIARI_ICRAITRRUG0,
BCC Di Capaccio Paestum E Serino,ICRAITRRBZ0,IT,90,Yes,No,Yes,Yes,Yes,BCC_DI_CAPACCIO_PAESTUM_E_SERINO_ICRAITRRBZ0,
BCC Di Carate Brianza,CRCBIT22,IT,90,Yes,No,Yes,Yes,Yes,BCC_DI_CARATE_BRIANZA_CRCBIT22,
BCC Di Caravaggio Adda E Cremasco,ICRAITRRC90,IT,90,Yes,No,Yes,Yes,Yes,BCC_DI_CARAVAGGIO_ADDA_E_CREMASCO_ICRAITRRC90,
BCC Di Castiglione Messer Raimondo E Pianella,ICRAITRRD50,IT,90,Yes,No,Yes,Yes,Yes,BCC_DI_CASTIGLIONE_MESSER_RAIMONDO_E_PIANELLA_ICRAITRRD50,
BCC Di Cittanova,ICRAITRRDO0,IT,90,Yes,No,Yes,Yes,Yes,BCC_DI_CITTANOVA_ICRAITRRDO0,
BCC Di Fano,ICRAITR1EFD,IT,90,Yes,No,Yes,Yes,Yes,BCC_DI_FANO_ICRAITR1EFD,
BCC Di Gambatesa,ICRAITRRFW0,IT,90,Yes,No,Yes,Yes,Yes,BCC_DI_GAMBATESA_ICRAITRRFW0,
BCC Di Gaudiano Di Lavello,ICRAITRRFE0,IT,90,Yes,No,Yes,Yes,Yes,BCC_DI_GAUDIANO_DI_LAVELLO_ICRAITRRFE0,
BCC Di Lezzeno,ICRAITRRH60,IT,90,Yes,No,Yes,Yes,Yes,BCC_DI_LEZZENO_ICRAITRRH60,
BCC Di Milano,ICRAITRRCL0,IT,90,Yes,No,Yes,Yes,Yes,BCC_DI_MILANO_ICRAITRRCL0,
BCC Di Montepaone,ICRAITRR3I0,IT,90,Yes,No,Yes,Yes,Yes,BCC_DI_MONTEPAONE_ICRAITRR3I0,
BCC Di Mozzanica,ICRAITRRIV0,IT,90,Yes,No,Yes,Yes,Yes,BCC_DI_MOZZANICA_ICRAITRRIV0,
BCC Di Napoli,ICRAITRRUU0,IT,90,Yes,No,Yes,Yes,Yes,BCC_DI_NAPOLI_ICRAITRRUU0,
BCC Di Nettuno,ICRAITRRJ90,IT,90,Yes,No,Yes,Yes,Yes,BCC_DI_NETTUNO_ICRAITRRJ90,
BCC Di Ostra E Morro D´alba,ICRAITRRJK0,IT,90,Yes,No,Yes,Yes,Yes,BCC_DI_OSTRA_E_MORRO_DALBA_ICRAITRRJK0,
BCC Di Ostra Vetere,ICRAITRRJL0,IT,90,Yes,No,Yes,Yes,Yes,BCC_DI_OSTRA_VETERE_ICRAITRRJL0,
BCC Di Ostuni,ICRAITRRJM0,IT,90,Yes,No,Yes,Yes,Yes,BCC_DI_OSTUNI_ICRAITRRJM0,
BCC Di Pachino,ICRAITRRJT0,IT,90,Yes,No,Yes,Yes,Yes,BCC_DI_PACHINO_ICRAITRRJT0,
BCC Di Pergola E Corinaldo,ICRAITRRKB0,IT,90,Yes,No,Yes,Yes,Yes,BCC_DI_PERGOLA_E_CORINALDO_ICRAITRRKB0,
BCC Di Pontassieve,ICRAITRRKG0,IT,90,Yes,No,Yes,Yes,Yes,BCC_DI_PONTASSIEVE_ICRAITRRKG0,
BCC Di Pratola Peligna,ICRAITRRKR0,IT,90,Yes,No,Yes,Yes,Yes,BCC_DI_PRATOLA_PELIGNA_ICRAITRRKR0,
BCC Di Putignano,ICRAITRRUX0,IT,90,Yes,No,Yes,Yes,Yes,BCC_DI_PUTIGNANO_ICRAITRRUX0,
BCC Di Roma,ROMAITRR,IT,90,Yes,No,Yes,Yes,Yes,BCC_DI_ROMA_ROMAITRR,
BCC Di San Calogero E Maierato - BCC Del Vibonese,ICRAITRRON0,IT,90,Yes,No,Yes,Yes,Yes,BCC_DI_SAN_CALOGERO_E_MAIERATO_BCC_DEL_VIBONESE_ICRAITRRON0,
BCC Di Spinazzola,ICRAITRRO90,IT,90,Yes,No,Yes,Yes,Yes,BCC_DI_SPINAZZOLA_ICRAITRRO90,
BCC Di Terra D´otranto,ICRAITRRCD0,IT,90,Yes,No,Yes,Yes,Yes,BCC_DI_TERRA_DOTRANTO_ICRAITRRCD0,
BCC Di Triuggio E Della Valle Del Lambro,ICRAITRRP10,IT,90,Yes,No,Yes,Yes,Yes,BCC_DI_TRIUGGIO_E_DELLA_VALLE_DEL_LAMBRO_ICRAITRRP10,
BCC Leverano,ICRAITRRGR0,IT,90,Yes,No,Yes,Yes,Yes,BCC_LEVERANO_ICRAITRRGR0,
BCC Longi Valle Del Fitalia R.l.,ICRAITRRPD0,IT,90,Yes,No,Yes,Yes,Yes,BCC_LONGI_VALLE_DEL_FITALIA_RL_ICRAITRRPD0,
BCC Mediocrati,ICRAITRRTI0,IT,90,Yes,No,Yes,Yes,Yes,BCC_MEDIOCRATI_ICRAITRRTI0,
BCC Pordenonese E Monsile,ICRAITRR9W0,IT,90,Yes,No,Yes,Yes,Yes,BCC_PORDENONESE_E_MONSILE_ICRAITRR9W0,
BCC Provincia Romana,ICRAITRRLV0,IT,90,Yes,No,Yes,Yes,Yes,BCC_PROVINCIA_ROMANA_ICRAITRRLV0,
BCC Terra Di Lavoro S. Vincenzo De´ Paoli,ICRAITRRRF0,IT,90,Yes,No,Yes,Yes,Yes,BCC_TERRA_DI_LAVORO_S_VINCENZO_DE_PAOLI_ICRAITRRRF0,
BCC Valdarno Fiorentino Banca Di Cascia,ICRAITRRCP0,IT,90,Yes,No,Yes,Yes,Yes,BCC_VALDARNO_FIORENTINO_BANCA_DI_CASCIA_ICRAITRRCP0,
BCC Valpolicella Benaco Banca,ICRAITRR8R0,IT,90,Yes,No,Yes,Yes,Yes,BCC_VALPOLICELLA_BENACO_BANCA_ICRAITRR8R0,
BCC Vicentino Pojana Maggiore,ICRAITRRKC0,IT,90,Yes,No,Yes,Yes,Yes,BCC_VICENTINO_POJANA_MAGGIORE_ICRAITRRKC0,
BCE,BCOEESMM,ES,730,Yes,No,Yes,Yes,Yes,CR_BCE_BCOEESMM,"Bank allows only 1 consent per PSU at the same time, when new consent is gained, previous is invalidated."
BDM BANCA S.p.A.,BPBAIT3B,IT,730,Yes,Yes,Yes,Yes,Yes,BDMB_BPBAIT3B,
BGL BNP Paribas,BGLLLULL,LU,730,No,Yes,No,No,No,BNP_LU_BGLLLULL,
BIP card (Newday),NEWDUK00X05,GB,730,No,Yes,Yes,No,No,NEWDAY_BIP_NEWDUK00X05,
BKS Bank,BFKKAT2K,AT,90,Yes,Yes,Yes,Yes,Yes,BKS_BFKKAT2K,
BKS Bank AG,BFKKSI20,SI,90,No,Yes,Yes,Yes,Yes,BKS_BANK_AG_BFKKSI20,"Only one account can be connected per one connection, for multiple accounts multiple requisitions should be created. There is no difference between private and business/corporate accounts. The API flow is the same for all types."
BN Bank ASA,KBNONO22,NO,90,No,Yes,Yes,Yes,Yes,BNBANK_KBNONO22,
BNP Paribas,BNPAFRPPXXX,FR,90,No,Yes,Yes,No,No,BNP_PARIBAS_BNPAFRPPXXX,
BNP Paribas,BNPADEFFXXX,DE,90,No,Yes,No,Yes,Yes,BNP_DE_BNPADEFFXXX,
BNP Paribas,PPABPLPK,PL,730,No,No,Yes,No,No,BNP_PL_PPABPLPK,
BNP Paribas Antilles-Guyane,BNPAMQMXXXX,FR,390,No,Yes,Yes,Yes,Yes,BNP_PARIBAS_ANTILLES_GUYANE_BNPAMQMXXXX,
BNP Paribas Corporate,PPABPLPK,PL,90,No,No,Yes,No,No,BNP_PL_CORPORATE_PPABPLPK,
BNP Paribas Entreprise,BNPAFRPPXXX,FR,390,No,Yes,No,No,Yes,BNP_PARIBAS_ENTREPRISE_BNPAFRPPXXX,
BNP Paribas Fortis,GEBABEBB,BE,730,No,Yes,Yes,Yes,Yes,BNP_BE_GEBABEBB,Additional information field changes due to bank adding statementreference later. This can cause dublicates. In this situation please remove the first transaction. 
BNP Paribas Fortis Business,GEBABEBB,BE,730,No,Yes,Yes,Yes,Yes,BNP_BE_BUSINESS_GEBABEBB,
BNP Paribas Nouvelle Calédonie,BNPANCNXXXX,FR,390,No,Yes,Yes,Yes,Yes,BNP_PARIBAS_NOUVELLE_CALEDONIE_BNPANCNXXXX,
BNP Paribas Réunion,BNPARERXXXX,FR,390,No,Yes,Yes,Yes,Yes,BNP_PARIBAS_REUNION_BNPARERXXXX,
BPER Banca Corporate,BPMOIT22,IT,275,Yes,No,Yes,Yes,Yes,BPER_CORP_BPMOIT22,
BPER Banca Smart,BPMOIT22,IT,275,Yes,No,Yes,Yes,Yes,BPER_RETAIL_BPMOIT22,
BPER Bank Luxembourg S.A.,BPMOLULS,LU,90,No,No,No,No,No,BPER_BPMOLULS,
BRED Banque Populaire,BREDFRPP,FR,730,Yes,No,Yes,Yes,Yes,BRED_BREDFRPP,"Requires two requisitions for gathering historical data and having continuous access to the account
Knowledge article reference: https://bankaccountdata.zendesk.com/hc/en-gb/articles/11529718632476-Extended-history-and-continuous-access-edge-cases "
BTP Banque,BATIFRP1XXX,FR,90,Yes,Yes,Yes,Yes,Yes,BTP_BANQUE_BATIFRP1XXX,
BTV Bank,BTVAAT22XXX,DE AT,90,Yes,Yes,Yes,Yes,Yes,BTV_BTVAAT22,
BTV Bank für Tirol und Vorarlberg Zweigniederlassung Deutschland,BTVADE61XXX,DE,400,Yes,No,Yes,Yes,Yes,BTV_BANK_FUR_TIROL_UND_VORARLBERG_ZWEIGNIEDERLASSUNG_DEUTSCHLAND_BTVADE61XXX,
Banca Adria Colli Euganei,CCRTIT2T97A,IT,365,Yes,No,Yes,Yes,Yes,BANCA_ADRIA_COLLI_EUGANEI_CCRTIT2T97A,
Banca Agricola Popolare di Ragusa,POPRIT31,IT,730,No,No,Yes,Yes,No,AGRICOLA_RAGUSA_POPRIT31,
Banca Agricola Popolare di Ragusa Corporate,POPRIT31,IT,730,No,No,No,Yes,Yes,AGRICOLA_RAGUSA_CORPORATE_POPRIT31,
Banca AideXa,AIDXITMM,IT,730,Yes,Yes,Yes,Yes,Yes,BANCA_AIDEXA_AIDXITMM,"Requires two requisitios for gathering historical data and having continuous access to the account
Knowledge article reference: https://bankaccountdata.zendesk.com/hc/en-gb/articles/11529718632476-Extended-history-and-continuous-access-edge-cases "
Banca Akros,AKROITMM,IT,365,Yes,No,Yes,No,No,BANCA_AKROS_AKROITMM,
Banca Aletti,ALETITMM,IT,365,Yes,No,Yes,No,No,BANCA_ALETTI_ALETITMM,
Banca Alpi Marittime Carrù,ICRAITRRCI0,IT,90,Yes,No,Yes,Yes,Yes,BANCA_ALPI_MARITTIME_CARRU_ICRAITRRCI0,
Banca Alta Toscana,ICRAITRRPM0,IT,90,Yes,No,Yes,Yes,Yes,BANCA_ALTA_TOSCANA_ICRAITRRPM0,
"Banca Alto Vicentino Credito Cooperativo Di Schio, Pedemonte E Roana",CCRTIT2TF01,IT,365,Yes,No,Yes,Yes,Yes,BANCA_ALTO_VICENTINO_CREDITO_COOPERATIVO_DI_SCHIO_PEDEMONTE_E_ROANA_CCRTIT2TF01,
Banca Annia Cred. Coop. Cartura E Polesine,ICRAITRRCK0,IT,90,Yes,No,Yes,Yes,Yes,BANCA_ANNIA_CRED_COOP_CARTURA_E_POLESINE_ICRAITRRCK0,
Banca Centro Emilia,CCRTIT2TBCE,IT,365,Yes,No,Yes,Yes,Yes,BANCA_CENTRO_EMILIA_CCRTIT2TBCE,This bank requires for the end-user to finish the banks authorisation flow twice for a successful connection (During the authorisation flow the customer will be prompted to sign in and authenticate multiple times)
Banca Centro Lazio,CCRTIT2TBCL,IT,365,Yes,No,Yes,Yes,Yes,BANCA_CENTRO_LAZIO_CCRTIT2TBCL,This bank requires for the end-user to finish the banks authorisation flow twice for a successful connection (During the authorisation flow the customer will be prompted to sign in and authenticate multiple times)
Banca Centro – Credito Cooperativo Toscana – Umbria Soc. Coop,ICRAITRRTV0,IT,90,Yes,No,Yes,Yes,Yes,BANCA_CENTRO_CREDITO_COOPERATIVO_TOSCANA_UMBRIA_SOC_COOP_ICRAITRRTV0,
Banca Centropadana,ICRAITRR900,IT,90,Yes,No,Yes,Yes,Yes,BANCA_CENTROPADANA_ICRAITRR900,
Banca Cesare Ponti,BCEPITMM,IT,275,Yes,No,Yes,Yes,Yes,BANCA_CESARE_BCEPITMM,
Banca Comercială Română,RNCBROBUXXX,RO,730,No,No,Yes,Yes,Yes,BANCA_COMERCIALA_ROMANA_RNCBROBUXXX,
Banca Cremasca E Mantovana,ICRAITRRTW0,IT,90,Yes,No,Yes,Yes,Yes,BANCA_CREMASCA_E_MANTOVANA_ICRAITRRTW0,
"Banca Dei Sibillini, Credito Cooperativo Di Casavecchia",ICRAITRRCO0,IT,90,Yes,No,Yes,Yes,Yes,BANCA_DEI_SIBILLINI_CREDITO_COOPERATIVO_DI_CASAVECCHIA_ICRAITRRCO0,
